LOCUS	PFAM_CODE	DOMAINE	PFAM_START	PFAM_STOP	LENGTH	PFAM_SCORE	PFAM_EXPECTED
BC1G_00003	PF00657.17	GDSL-like Lipase/Acylhydrolase	4274	5835	1562	32.7	5.9E-8
BC1G_00004	PF01179.15	Copper amine oxidase, enzyme domain	7290	7738	449	156.0	1.1E-45
BC1G_00004	PF01179.15	Copper amine oxidase, enzyme domain	7140	7519	380	156.0	1.1E-45
BC1G_00004	PF02727.11	Copper amine oxidase, N2 domain	6390	6647	258	51.0	1.0E-13
BC1G_00004	PF02727.8	Copper amine oxidase, N2 domain	6390	6647	258	63.72999954223633	6.099999884484858E-16
BC1G_00004	PF02728.8	Copper amine oxidase, N3 domain	6660	7070	411	113.5	5.8999998682460765E-31
BC1G_00004	PF02727.8	Copper amine oxidase, N2 domain	6390	6647	258	70.9000015258789	4.00000018325482E-18
BC1G_00004	PF02728.8	Copper amine oxidase, N3 domain	6660	7070	411	113.5	5.8999998682460765E-31
BC1G_00004	PF02728.8	Copper amine oxidase, N3 domain	6660	7070	411	113.55000305175781	6.0999998876882015E-31
BC1G_00004	PF02728.11	Copper amine oxidase, N3 domain	6660	7070	411	80.7	5.9E-23
BC1G_00004	PF02727.8	Copper amine oxidase, N2 domain	6390	6647	258	70.9000015258789	4.00000018325482E-18
BC1G_00008	PF03134.14	TB2/DP1, HVA22 family	15919	16365	447	95.9	8.1E-28
BC1G_00008	PF03134.11	TB2/DP1, HVA22 family	15916	16365	450	121.33999633789062	2.7999999930098414E-33
BC1G_00008	PF03134.11	TB2/DP1, HVA22 family	15916	16365	450	120.4000015258789	5.299999868694419E-33
BC1G_00008	PF03134.11	TB2/DP1, HVA22 family	15916	16365	450	120.4000015258789	5.299999868694419E-33
BC1G_00009	PF01266.16	FAD dependent oxidoreductase	18174	19465	1292	77.69999694824219	3.6999998825824334E-20
BC1G_00009	PF01266.16	FAD dependent oxidoreductase	18174	19465	1292	77.69999694824219	3.6999998825824334E-20
BC1G_00009	PF01266.16	FAD dependent oxidoreductase	18174	19465	1292	77.3499984741211	4.799999847674508E-20
BC1G_00009	PF01266.19	FAD dependent oxidoreductase	18174	19465	1292	99.6	1.4E-28
BC1G_00010	PF01008.9	Initiation factor 2 subunit family	21769	23020	1252	350.1099853515625	0.0
BC1G_00010	PF01008.9	Initiation factor 2 subunit family	21769	23020	1252	350.1000061035156	0.0
BC1G_00010	PF01008.9	Initiation factor 2 subunit family	21769	23020	1252	350.1000061035156	0.0
BC1G_00010	PF01008.12	Initiation factor 2 subunit family	21769	23014	1246	250.7	1.2E-74
BC1G_00011	PF00505.11	HMG (high mobility group) box	25449	25649	201	70.5999984741211	4.999999918875795E-18
BC1G_00011	PF00505.11	HMG (high mobility group) box	25449	25649	201	70.5999984741211	4.999999918875795E-18
BC1G_00011	PF00505.11	HMG (high mobility group) box	25449	25649	201	70.54000091552734	5.400000061278369E-18
BC1G_00011	PF09011.5	Domain of unknown function (DUF1898)	25461	25655	195	51.9	6.8E-14
BC1G_00011	PF00505.14	HMG (high mobility group) box	25449	25649	201	62.1	4.0E-17
BC1G_00012	PF00505.14	HMG (high mobility group) box	28781	28981	201	60.8	1.0E-16
BC1G_00012	PF09011.5	Domain of unknown function (DUF1898)	28793	28987	195	50.6	1.7E-13
BC1G_00012	PF00536.25	SAM domain (Sterile alpha motif)	29144	29320	177	37.2	2.2E-9
BC1G_00012	PF07647.9	SAM domain (Sterile alpha motif)	29138	29338	201	21.350000381469727	0.0034860000014305115
BC1G_00012	PF00536.22	SAM domain (Sterile alpha motif)	29144	29335	192	34.66999816894531	3.400000139208714E-7
BC1G_00012	PF00505.11	HMG (high mobility group) box	28781	28981	201	70.54000091552734	5.400000061278369E-18
BC1G_00012	PF00505.11	HMG (high mobility group) box	28781	28981	201	70.5999984741211	4.999999918875795E-18
BC1G_00012	PF00536.22	SAM domain (Sterile alpha motif)	29144	29335	192	34.79999923706055	3.000000106112566E-7
BC1G_00012	PF07647.9	SAM domain (Sterile alpha motif)	29138	29338	201	21.399999618530273	0.0032999999821186066
BC1G_00012	PF00505.11	HMG (high mobility group) box	28781	28981	201	70.5999984741211	4.999999918875795E-18
BC1G_00012	PF07647.12	SAM domain (Sterile alpha motif)	29144	29320	177	27.0	2.6E-6
BC1G_00012	PF07647.9	SAM domain (Sterile alpha motif)	29138	29338	201	21.399999618530273	0.0032999999821186066
BC1G_00012	PF00536.22	SAM domain (Sterile alpha motif)	29144	29335	192	34.79999923706055	3.000000106112566E-7
BC1G_00020	PF07247.4	Alcohol acetyltransferase	36644	38297	1654	21.139999389648438	1.100000014578155E-14
BC1G_00020	PF07247.7	Alcohol acetyltransferase	36644	38297	1654	102.5	1.8E-29
BC1G_00021	PF06985.3	Heterokaryon incompatibility protein (HET)	39326	39691	366	44.400001525878906	2.50000003337858E-11
BC1G_00021	PF06985.6	Heterokaryon incompatibility protein (HET)	39308	39691	384	80.9	8.6E-23
BC1G_00021	PF06985.3	Heterokaryon incompatibility protein (HET)	39326	39691	366	44.400001525878906	2.3999999904100733E-11
BC1G_00021	PF06985.3	Heterokaryon incompatibility protein (HET)	39326	39691	366	44.400001525878906	2.3999999904100733E-11
BC1G_00027	PF00793.15	DAHP synthetase I family	50876	51526	651	228.3	5.9E-68
BC1G_00027	PF00793.12	DAHP synthetase I family	50876	51529	654	283.29998779296875	0.0
BC1G_00027	PF00793.12	DAHP synthetase I family	50876	51529	654	283.29998779296875	0.0
BC1G_00027	PF00793.12	DAHP synthetase I family	50876	51529	654	283.2200012207031	0.0
BC1G_00028	PF00248.16	Aldo/keto reductase family	52695	53672	978	213.6	2.1E-63
BC1G_00028	PF00248.13	Aldo/keto reductase family	52731	53690	960	-45.599998474121094	1.3000000080864993E-6
BC1G_00028	PF00248.13	Aldo/keto reductase family	52731	53690	960	-45.599998474121094	1.3000000080864993E-6
BC1G_00032	PF06220.4	U1 zinc finger	62257	62419	163	13.329999923706055	0.0018500000005587935
